product_name,product_price,Rate,Review,Summary,Sentiment
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,5,terrific,very good,positive
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",8999,2,expected a better product,bad quality,negative
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,wonderful,the best poduct that i bought from flifkart it works superb like ac and price is also reasonable only rs 8698,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,cooler is big and wide maharaja brand trust y every thing is good about cooler create less noise only thing is that its motor is not powerful even in high speed rest all things are good but yes for one middle size room it is ok,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,awesome,it is one of the best air coolers at reasonable price have ever seen but the ventilation of the room is must for proper cooling but the size is quite big it will i hope create a space problem during off seasons the air supply is very good and its one of the essential part of the air cooler with the wool wood pads which helps to make super cooling afterall thank you maharaja company to make such a product in affordable and reasonable price,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,awesome,feedback given after using one week the cooler is amazing its making the whole room cooling you should install the cooler near to your windows the delivery was on time as well the delivery boy also very supportive,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,3,decent product,great deal 65 l quite big tank sufficient cooling for one medium size room 3 modes works well best in this range,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,5,fabulous!,i bought this cooler on heavy discount by flipkart cooler is build of good quality material it has a fast fan with powerfull motor pump air quality is excellent even for a big room a must buy value for money product,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,3,very satisfactory,the good things1 very well packed good amount of thermocols to protect from transport damages2 sturdy body3 relatively less noise as compared to bajaj cooler i had earlierwish this was betterfor many purposes it is necessary to open cooler body opening the body of cooler is not very intuitive common consumers may not even attempt for fear of damaging something 1 easy opening of side frames to change pads or clean the water inlets2 water balloon used to cut water supply au,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,good quality product,excellent producthappy with resultnice air flowosm cooling,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,wonderful,is good for many,positive
"MAHARAJA WHITELINE 65 L Desert Air Cooler??????(White, Grey, Rambo Grey / AC-303)",7999,4,wonderful,it is an awesome product light weight easy to use and having lot of features,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,fabulous!,delivery was delayed by two days except this everything is quite finesafely packedair flow is good run silently even on full 3 speedice chamber is pretty good and instantly starts giving cool air after putting ice in itconnecting wire is kind of short lengtha foul smell comes for the first time you put water in itbut it ended within 34 hrsmoving wheels are quite reliablewheel lock works good,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,super!,cant go wrong with crompton brand in punjab this does an excellent job during this summer with temp between 35 42 the looks quality motor are great and i have been using it indoors the air flow is good and have been using at lowest speed in my 1216 bedroom and need summer blanket with it at top speed it easily cools my 3615 lobby which is great as far as water goes it lasts 15 hrs without worrying 88l capacity very easy to move even when water filled to full capacity never g,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,terrific purchase,a great cooler in great price compact and great design body is made of good plastic and the cooling effect this cooler is too good even on a slowest fan speed ut gives best resultrecommended to allalso one thing i need to mentioned is the delivery man great guy helps me a lot to get this product,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,classy product,its an awesome product and i am not making any fake comments here i bought this just for trial to have a healthier ambience at home and i am happy that i made this choice it cools a room and keeps it cool all day and its best if you put it near a window or open door so that it pulls fresh air huge savings on electricity eco friendly and comfy,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,perfect product!,air throw is very goodlow noise and best cooling on medium speedmotor of fan is partially covered with plastic to protect water fall on itoriginal crompton motor very durablewater level can be seen clearly from outside body of cooleryou can fill water very easily from front side of cooler a big box is available to open and close it after filling water55 litre tank is enough for 10 hours cooling honey comb pads very good quality plastic body is,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,its not a cooler its ac cooler,its been 6 days that i am using this cooler we have 1515 room after buying this cooler what i love is it has strong solid body so dont worry that it get broken easily you can fill water from front and back and give very cool air my room feel like its december in april i have to use extra blanket in night while sleeping it has capacity of 75 litre water which last for 2 days but i love to run cooler on pump for 1 hour it cool the whole room then only air mode and it gives awesome cool,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,wonderful,very good quality product better than my expectations if you provide good ventilation it does nice cooling then i could feel the air 25 feet away couldnt try more than that but i think you could feel it a bit more far away as well water easily lasts for about 89 hours good in this price9200 range after 10 percent discount,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,3,ok kind of cooler..not effective in hot conditions,delivery was on time flipkart service was awesome on time but the cooler doesnt seem to be so costly as it doesnt cool really well even after filling it up with full water it can be ok during warm nights but it wont make you feel any ease in hot conditions the plastic build also looks very cheap and below standard i am ok with it but not very satisfied,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,1,don't waste your money,water pump is not throwing a lot of water thats why its throwing warm air not satisfied with this kind of pump quality i have paid a lot for this not worth the money there is no work of ice chamber i need a partial refund,negative
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,worth every penny,a quality product from crompton it looks exactly like in the website is easy to set up and use please refer the room size charts while buying from the product line this one is meant for a somewhat large room there are 3 speed controls a couple more on the lesser side would have been better the smell from the cooling pads reported in a couple of other reviews was there but mostly dissipated within the first 8 hours of use finally this cooler consumes a lot of water 3lhr so it w,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,5,terrific purchase,great job by fk faster delivery awesome product i got brand new air cooler at first i checked its sounds not bad as i read in reviewair delivery is much better one thing to say delivery boy most helpful so guys must go for it but i have doubt is this model same to ozone 55 because i ordered this got ozone 55 according to sailer both r same then why fk shows different model price,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,4,nice product,a good cooler by crompton the height of the cooler is about 3ft 10 inch color is nice plastic body is average air blow is good at any stage 12 or 3 air swing is also 3 choice when you switch it on for the first time after filling the water you will feel the nice cold air you will feel cool if you use it according to the weather there is a ice tray on the top overall a good cooler i will give 45 for design 35 for plastic body 45 for fan speed 45 for fan swing,positive
"Crompton 75 L Desert Air Cooler??????(White, Teal, ACGC-DAC751)",9999,3,nice,very bad ever packageing by flipkart i have seen when i open its outer layer its been already open looks like used product air throw quality is not good as expected its water meter is very top of its water tank if you want to see its minimum level of water then u have to fill atlest 50 liter of water no any support of up and down its air wing and its not cover very much area overall just ok not very satisfied,negative
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,wonderful,if u searching best bluetooth headphone i believe till now this is the best when price is concern and forget about battery backup sound bass its really decent but only one thing u need to remember its little bigger in size as compared to size but we can manage it its not like bit heavy product,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,3,nice,sound is not loud my expectations were high because there were many positive reviews but i really dont like it there r many cheaper and better headphones in the marketsound quality 3 5 build quality 25,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,4,value-for-money,i receive today this awesome product but my ear get pain some time but ok quality of product is good and comfortable to use and awesome sound quality bass is really good,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,just wow!,color is vary goodi like blue color so i recive blue color onlyvary nice producti like it thank u flipkart,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,2,moderate,it looks cool and very attracted design but not so comfortable to use it suitable for travelers and gamerscant use for ordinary routine person those who are always wear on headphones while you choosing headphones think wisely how long u gonna use it on daily basis and what is ur requirements which one meet ur requirements choose that if you doesnt you will regret like me,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,1,waste of money!,this device is not supporting on honor phones i have honor play phone and this device is not supporting 3d sound in game or music,negative
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,1,absolute rubbish!,except battery backup nothing greatto be honest it not worth for the amount i spenti recommend t go with some good product with little more bucks,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,4,delightful,the product is amazing and best part of product is its dual mode you can enjoy gaming in wired mode gives an amazing experience and you can also enjoy other stuffs like music call on wireless mode if its battery is low you can also try wired mode,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,4,nice product,product is really good its sound quality is also goodbass is good but not as good as neckband but more than average noise cancellation works on high sound like u r teleportedbattery backup is amazing really go fr it with second thoughtonly problem is when u stop song or anything for few time it get switch off quickly ig its inbuilt functionrest assured its value fr money,positive
"boAt Rockerz 510 Super Extra Bass Bluetooth Headset??????(Molten Orange, On the Ear)",1199,5,worth every penny,i had been using this as my daily driver for more than 1 year pros 1 loud sound quality above 50 others can hear your song clearly 2 good battery backup more than 20 hrs continue usage 3 stirdy build quality i had dropped more than 5 times cons1bass is not upto the mark2sound distortion above 80 volume 3 i also have mi superbass its far more superior than this if you are a bass lover go for mi superbass or you want loud music go for this,positive
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset??????(Magico Black, In the Ear)",1999,1,waste of money!,design not goodno comfortable,negative
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset??????(Magico Black, In the Ear)",1999,2,moderate,backgrounds voice is coming too much in handsfree noise cancellation is just future but its not worked,neutral
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset??????(Magico Black, In the Ear)",1999,5,wonderful,one of the best segment in the price range iam very very happy value for money,positive
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset??????(Magico Black, In the Ear)",1999,5,just wow!,value for money product nyc quality loved it thankyou flipkart,positive
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset??????(Magico Black, In the Ear)",1999,4,really nice,nice brand,positive
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset??????(Magico Black, In the Ear)",1999,5,terrific,nice,positive
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset??????(Magico Black, In the Ear)",1999,5,excellent,going gr8 but bass it too asome n this variant can make to realize the bass edition z1 was not that much good as it is,negative
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset??????(Magico Black, In the Ear)",1999,3,decent product,sound is great but the built quality is cheap,positive
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset??????(Magico Black, In the Ear)",1999,5,terrific,super quality,positive
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset??????(Magico Black, In the Ear)",1999,5,super!,must buy,neutral
"Mivi Roam2 5 W Bluetooth Speaker??????(Black, Mono Channel)",1099,3,fair,good bass good design but sound doesnt go yet far in full volume,positive
"Mivi Roam2 5 W Bluetooth Speaker??????(Black, Mono Channel)",1099,5,best in the market!,damn sexy i love it i have brought 2 bt use them both by connecting with one paired i got 10w speakers waited for a year to buy the red one now no regret at all blue one is 1 year old,positive
"Mivi Roam2 5 W Bluetooth Speaker??????(Black, Mono Channel)",1099,5,simply awesome,superb product,positive
"Mivi Roam2 5 W Bluetooth Speaker??????(Black, Mono Channel)",1099,5,classy product,very nice product,positive
"Mivi Roam2 5 W Bluetooth Speaker??????(Black, Mono Channel)",1099,5,worth every penny,my father purchased some non branded speakers with below 2000 from flipkart and highly dissatisfied with the sound quality so i selected this as a try at first he didnt expected this to sound so good he scolded me as im wasting 999 on this much small speaker after listening to this with fully disappointed impression i saw his change in expression to surprise i think he loves its sound if you arent sure what to purchase just have a try on this speaker if you didnt like the sou,positive
"Mivi Roam2 5 W Bluetooth Speaker??????(Black, Mono Channel)",1099,5,fabulous!,sound very clear and freshnice product,positive
"etmax NANO BLACK 30 W Bluetooth Home Theatre??????(Black, Stereo Channel)",997,1,utterly disappointed,sound quality extremely poor dont purchase any today got return by tomorrow,negative
"etmax NANO BLACK 30 W Bluetooth Home Theatre??????(Black, Stereo Channel)",997,1,absolute rubbish!,dont waste your money on it go for sound bars,negative
"etmax NANO BLACK 30 W Bluetooth Home Theatre??????(Black, Stereo Channel)",997,1,useless product,not good,negative
"etmax NANO BLACK 30 W Bluetooth Home Theatre??????(Black, Stereo Channel)",997,1,utterly disappointed,poor,negative
"etmax NANO BLACK 30 W Bluetooth Home Theatre??????(Black, Stereo Channel)",997,1,don't waste your money,waste of money,negative
"etmax NANO BLACK 30 W Bluetooth Home Theatre??????(Black, Stereo Channel)",997,1,did not meet expectations,not bad,neutral
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,classy product,what a wonderful product it is such amazing sound quality and bass in such mid size sound bar just amazing love the design not too big and not too small,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,simply awesome,awesome product sound was mindblowing build quality was good and leather give it classic sound bar look amazing product at this pricemust buy,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,awesome,sound bar is very good and sound quality is awesome size is perfect buttons are excellent quality sound bar meterial is very nice battery backup is awesome i personally like this product,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,perfect product!,amazing quality speakersound is very loud and clear and decent bassspeaker has a very premium build qualitybattery backup is also good must buy it,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,terrific purchase,using with my tv and build quality is solid looks are elegant feels like premium aux bluetooth and memory are working perfectly fine sound is on a decent side no too much bass good buy,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,classy product,i really liked the product my space was so that i cant put any sbig huge soundboard but this fits perfectly really great product,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,best in the market!,a quite decent sound in this price range battery back up at 7080 volume gives me around 6 hrs since last full charge despite this mivi is madi in india product and also provides decent service in their service centres mivi fort s16 claims the cinematic sound experience feature and it feels by the vocals and trebles sounds like similarly as in theatre in this price range if you are looking for a small sound bar for laptopmobile and a normal living room for television you can go for it,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,awesome,first impression is its smaller than expected with good build quality the sound is top notch with adequate basswe are using it since 2 weeks bluetooth connectivity is good sound quality very good with extra base feature,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,simply awesome,as expected a powerful mini soundbari have been using blaupunkt 16w soundbar for a while and on the very first day of sale i purchased this product1fabulous2 21ch works perfect3 the connectivity range is really food tried upto 20ft4 battery backup is good5 sound clarity is good6 bass is decent7 can also be connected to smart tv through bluetooth8 aux performance is very goodconsno hdmi portno fm,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,brilliant,well the speaker i think this is one of the best speaker at this price range amazing sound quality is very nice and clear and the bass is extraordinary very good bluetooth speaker i love this speaker,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,wonderful,the speaker is excellent in soundbuild quality and unbelievable features within the price range ordered another speaker as wellive used many speaker of this price range but this one has really good sound quality beds is superb and most importantly at high volume there is no distortion regarding battery at normal volume it lasts upto 5to6 hrs happy thank you flipkart,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,simply awesome,very nice and good sound quality,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,fabulous!,overall good,positive
"Mivi Fort S16 Soundbar with 2 full range drivers, Made in India 16 W Bluetooth Soundbar??????(Black, 2.0 Channel)",1499,5,highly recommended,super,positive
"I Kall IK22 40 W Bluetooth Home Theatre??????(Black, 2.1 Channel)",1499,5,super!,nice products,positive
"I Kall IK22 40 W Bluetooth Home Theatre??????(Black, 2.1 Channel)",1499,4,wonderful,best experience in this price range,positive
"I Kall IK22 40 W Bluetooth Home Theatre??????(Black, 2.1 Channel)",1499,4,very good,good,positive
"I Kall IK22 40 W Bluetooth Home Theatre??????(Black, 2.1 Channel)",1499,5,simply awesome,nice product with bass,positive
"I Kall IK22 40 W Bluetooth Home Theatre??????(Black, 2.1 Channel)",1499,5,terrific purchase,very nice,positive
"I Kall IK22 40 W Bluetooth Home Theatre??????(Black, 2.1 Channel)",1499,5,terrific,excellent good quality and sound is,positive
"I Kall IK22 40 W Bluetooth Home Theatre??????(Black, 2.1 Channel)",1499,4,delightful,awesome product,positive
"I Kall IK22 40 W Bluetooth Home Theatre??????(Black, 2.1 Channel)",1499,4,really nice,everything ok value for money,positive
"I Kall IK22 40 W Bluetooth Home Theatre??????(Black, 2.1 Channel)",1499,1,utterly disappointed,very bad product please dont bought this speaker it is a local product and very bad all things of this speaker,negative
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",499,5,wonderful,goodhappy with us,positive
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",499,4,wonderful,nice product,positive
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",499,5,great product,this dj sound is very good i like it very much sound quality is so good,positive
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",499,5,worth every penny,good,positive
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",499,1,very poor,bad product,negative
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",499,5,terrific,super,positive
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",499,5,terrific,good,positive
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",499,5,awesome,wow,positive
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",499,5,terrific,osam,positive
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",499,4,pretty good,nice,positive
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",499,5,fabulous!,excellent product,positive
"Sulfur Best Buy Ultra DJ Sound Blast Portable Best Bluetoothwith Super deep Bass Wireless Rechargeable dj Sound Bluetooth| Extra Baas Stereo sound quality |Led Colour Changing Lights | mini Home theatre| Speaker Support TF/USB/Pen Drive/AUX Slot 10 W Bluetooth Car Speaker??????(Black, Stereo Channel)",499,5,best in the market!,nice product,positive
"ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop Speaker??????(Black, Stereo Channel)",1349,5,brilliant,nice product nice sound qulity,positive
"ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop Speaker??????(Black, Stereo Channel)",1349,5,classy product,good speaker,positive
"ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop Speaker??????(Black, Stereo Channel)",1349,5,best in the market!,avg,neutral
"ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop Speaker??????(Black, Stereo Channel)",1349,5,terrific purchase,best built quality and satisfied with sound quality also best bluetooth speaker,positive
"ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop Speaker??????(Black, Stereo Channel)",1349,4,really nice,bass is little bit lowersound ok,positive
"ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop Speaker??????(Black, Stereo Channel)",1349,5,must buy!,good,positive
"ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop Speaker??????(Black, Stereo Channel)",1349,5,mind-blowing purchase,nice sound,positive
"ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop Speaker??????(Black, Stereo Channel)",1349,4,pretty good,very nice,positive
"ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop Speaker??????(Black, Stereo Channel)",1349,5,simply awesome,sound goodconnectivity goodbass goodoverall super product i like this so much,positive
"ZEBRONICS Zeb-Vita Plus 16 W Bluetooth Laptop/Desktop Speaker??????(Black, Stereo Channel)",1349,4,good quality product,sound quality bass and battery life is amazing but it doesnt sound like 16w my 10w speaker is louder than this but otherwise its really goodonly when i connect it with my laptop through aux cable its really loud,negative
"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens????????(Black)",30999,5,classy product,as like always canon is perfect in all manner super pick by this price range loved it,positive
"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens????????(Black)",30999,5,best in the market!,nice camera in great price good for photo passionate,positive
"Canon EOS 3000D DSLR Camera 1 Camera Body, 18 - 55 mm Lens????????(Black)",30999,5,awesome,excellent product and fast delivery by flipkart found very good and offer provided was a very good deal for beginners already 1 month over and all working in good way original product,positive
